doctor_id,doctor_name,specialization,department,experience_years
D0430,Dr. Saanvi Desai,Spine,Orthopedics,19
D0431,Dr. Kabir Menon,Cornea,Ophthalmology,16
D0432,Dr. Shreya Das,Medical Oncology,Oncology,8
D0433,Dr. Ira Nair,Clinical Pathology,Pathology,18
D0434,Dr. Sai Sharma,Adult Psychiatry,Psychiatry,30
D0435,Dr. Aditya Patel,Endourology,Urology,26
D0436,Dr. Sneha Patel,Neonatology,Pediatrics,3
D0437,Dr. Ira Mitra,Medical Dermatology,Dermatology,4
D0438,Dr. Sneha Kumar,Spine,Orthopedics,21
D0439,Dr. Karan Desai,Endoscopy,Gastroenterology,5
D0440,Dr. Saanvi Kumar,Adult Psychiatry,Psychiatry,22
D0441,Dr. Pooja Khanna,Reconstructive Urology,Urology,4
D0442,Dr. Sneha Kumar,Audiology,ENT,26
D0443,Dr. Pooja Joshi,Neonatology,Pediatrics,27
D0444,Dr. Aadhya Kumar,Endourology,Urology,7
D0445,Dr. Meera Joshi,Cosmetic Dermatology,Dermatology,29
D0446,Dr. Ishaan Mehta,Histopathology,Pathology,28
D0447,Dr. Asha Gandhi,Joint Replacement,Orthopedics,24
D0448,Dr. Pooja Gandhi,Neonatology,Pediatrics,20
D0449,Dr. Vikram Das,Diagnostic Radiology,Radiology,25
D0450,Dr. Aadhya Mehta,Critical Care,Emergency,6
D0451,Dr. Arjun Das,Obstetrics,Gynecology,28
D0452,Dr. Aadhya Mehta,Clinical Neurology,Neurology,24
D0453,Dr. Aditya Mitra,Family Medicine,General Medicine,25
D0454,Dr. Arjun Gandhi,Non-Invasive Cardiology,Cardiology,17
D0455,Dr. Sneha Verma,Adult Psychiatry,Psychiatry,14
D0456,Dr. Aarav Kumar,Hepatology,Gastroenterology,5
D0457,Dr. Aarav Bose,Laparoscopic Surgery,Surgery,15
D0458,Dr. Vikram Joshi,Cosmetic Dermatology,Dermatology,23
D0459,Dr. Aditya Menon,Cosmetic Dermatology,Dermatology,10
D0460,Dr. Aditya Kapoor,Hepatology,Gastroenterology,2
D0461,Dr. Pooja Patel,General Pediatrics,Pediatrics,12
D0462,Dr. Vivaan Bose,Obstetrics,Gynecology,11
D0463,Dr. Ananya Mehta,Trauma Medicine,Emergency,7
D0464,Dr. Vikram Khanna,Clinical Pathology,Pathology,7
D0465,Dr. Vivaan Gupta,Radiation Oncology,Oncology,19
D0466,Dr. Shreya Verma,Clinical Pathology,Pathology,25
D0467,Dr. Arjun Gandhi,General Pediatrics,Pediatrics,7
D0468,Dr. Vikram Bose,Audiology,ENT,14
D0469,Dr. Ira Gupta,Adult Psychiatry,Psychiatry,12
D0470,Dr. Sneha Verma,General Surgery,Surgery,28
D0471,Dr. Asha Reddy,Hepatology,Gastroenterology,10
D0472,Dr. Ira Iyer,Critical Care,Emergency,27
D0473,Dr. Diya Patel,Internal Medicine,General Medicine,5
D0474,Dr. Pooja Gupta,Neurosurgery,Neurology,23
D0475,Dr. Diya Bose,Joint Replacement,Orthopedics,7
D0476,Dr. Sneha Verma,Adult Psychiatry,Psychiatry,6
D0477,Dr. Vikram Desai,Reproductive Medicine,Gynecology,20
D0478,Dr. Asha Mitra,Child Psychiatry,Psychiatry,24
D0479,Dr. Meera Nair,Trauma Medicine,Emergency,28
D0480,Dr. Karan Sharma,Dialysis,Nephrology,2
D0481,Dr. Rohan Singh,Clinical Pathology,Pathology,29
D0482,Dr. Vikram Mitra,Adult Psychiatry,Psychiatry,13
D0483,Dr. Ira Das,Transplant,Nephrology,16
D0484,Dr. Karan Gandhi,ENT Surgery,ENT,8
D0485,Dr. Aarav Bose,Medical Dermatology,Dermatology,13
D0486,Dr. Shreya Khanna,Internal Medicine,General Medicine,14
D0487,Dr. Aditya Das,Reproductive Medicine,Gynecology,5
D0488,Dr. Asha Gupta,Critical Care,Emergency,23
D0489,Dr. Rohan Das,Retina,Ophthalmology,3
D0490,Dr. Aadhya Menon,Joint Replacement,Orthopedics,14
D0491,Dr. Rohan Sharma,Diagnostic Radiology,Radiology,23
D0492,Dr. Ananya Reddy,Retina,Ophthalmology,25
D0493,Dr. Meera Sharma,Endourology,Urology,23
D0494,Dr. Aditya Bose,Diabetology,Endocrinology,13
D0495,Dr. Ishaan Kapoor,Cornea,Ophthalmology,17
D0496,Dr. Asha Iyer,Histopathology,Pathology,9
D0497,Dr. Shreya Reddy,Non-Invasive Cardiology,Cardiology,7
D0498,Dr. Vivaan Das,Neonatology,Pediatrics,18
D0499,Dr. Rohan Mehta,Joint Replacement,Orthopedics,21
D0500,Dr. Sneha Das,Diabetology,Endocrinology,11
D0501,Dr. Shreya Khanna,Radiation Oncology,Oncology,16
D0502,Dr. Ananya Reddy,Radiation Oncology,Oncology,26
D0503,Dr. Pooja Bose,Diagnostic Radiology,Radiology,18
D0504,Dr. Aditya Gandhi,General Surgery,Surgery,7
D0505,Dr. Saanvi Das,Diagnostic Radiology,Radiology,25
D0506,Dr. Aadhya Verma,Diagnostic Radiology,Radiology,4
D0507,Dr. Shreya Reddy,Interventional Radiology,Radiology,19
D0508,Dr. Shreya Joshi,Joint Replacement,Orthopedics,22
D0509,Dr. Vikram Iyer,Transplant,Nephrology,24
D0510,Dr. Vikram Chopra,Neurosurgery,Neurology,24
D0511,Dr. Sai Das,Neonatology,Pediatrics,24
D0512,Dr. Aarav Singh,Histopathology,Pathology,21
D0513,Dr. Aarav Sharma,Neurosurgery,Neurology,29
D0514,Dr. Sneha Gupta,Hepatology,Gastroenterology,11
D0515,Dr. Aditya Joshi,Sleep Medicine,Pulmonology,13
D0516,Dr. Sai Khanna,Adult Psychiatry,Psychiatry,28
D0517,Dr. Saanvi Desai,Endourology,Urology,6
D0518,Dr. Asha Khanna,Reproductive Medicine,Gynecology,28
D0519,Dr. Aadhya Menon,ENT Surgery,ENT,13
D0520,Dr. Pooja Singh,Interventional Pulmonology,Pulmonology,2
D0521,Dr. Meera Kumar,Spine,Orthopedics,22
D0522,Dr. Vikram Kumar,Retina,Ophthalmology,14
D0523,Dr. Ira Reddy,Medical Dermatology,Dermatology,13
D0524,Dr. Rohan Desai,Medical Oncology,Oncology,5
D0525,Dr. Ananya Nair,Dialysis,Nephrology,3
D0526,Dr. Shreya Mitra,Medical Oncology,Oncology,24
D0527,Dr. Ishaan Singh,General Surgery,Surgery,4
D0528,Dr. Ishaan Mitra,Audiology,ENT,14
D0529,Dr. Kabir Kumar,Audiology,ENT,18
D0530,Dr. Aarav Patel,Thyroid Specialist,Endocrinology,11
D0531,Dr. Vikram Kumar,Critical Care,Emergency,19
D0532,Dr. Karan Chopra,Child Psychiatry,Psychiatry,2
D0533,Dr. Meera Reddy,Child Psychiatry,Psychiatry,2
D0534,Dr. Aditya Reddy,Endoscopy,Gastroenterology,3
D0535,Dr. Aadhya Menon,Diabetology,Endocrinology,29
D0536,Dr. Kabir Gupta,Clinical Neurology,Neurology,23
D0537,Dr. Shreya Nair,Neonatology,Pediatrics,26
D0538,Dr. Ira Das,Obstetrics,Gynecology,16
D0539,Dr. Shreya Sharma,Laparoscopic Surgery,Surgery,30
D0540,Dr. Kabir Singh,Spine,Orthopedics,1
D0541,Dr. Sneha Gandhi,Reconstructive Urology,Urology,10
D0542,Dr. Aadhya Khanna,General Surgery,Surgery,6
D0543,Dr. Ishaan Reddy,Transplant,Nephrology,27
D0544,Dr. Arjun Kumar,Diagnostic Radiology,Radiology,17
D0545,Dr. Ishaan Iyer,Family Medicine,General Medicine,19
D0546,Dr. Shreya Chopra,Transplant,Nephrology,12
D0547,Dr. Vivaan Kapoor,Reproductive Medicine,Gynecology,20
D0548,Dr. Karan Verma,Hepatology,Gastroenterology,29
D0549,Dr. Ananya Das,Interventional Radiology,Radiology,16
D0550,Dr. Ananya Desai,Diabetology,Endocrinology,24
D0551,Dr. Aditya Nair,Histopathology,Pathology,2
D0552,Dr. Ananya Verma,Interventional Cardiology,Cardiology,15
D0553,Dr. Kabir Reddy,Reconstructive Urology,Urology,23
D0554,Dr. Meera Chopra,General Pediatrics,Pediatrics,19
D0555,Dr. Aarav Verma,Endoscopy,Gastroenterology,1
D0556,Dr. Asha Joshi,Family Medicine,General Medicine,6
D0557,Dr. Shreya Kumar,Interventional Pulmonology,Pulmonology,18
D0558,Dr. Sai Gupta,Thyroid Specialist,Endocrinology,29
D0559,Dr. Kabir Singh,Joint Replacement,Orthopedics,19
D0560,Dr. Aadhya Gandhi,Sleep Medicine,Pulmonology,30
D0561,Dr. Rohan Verma,Medical Dermatology,Dermatology,22
D0562,Dr. Pooja Khanna,Reconstructive Urology,Urology,3
D0563,Dr. Saanvi Kumar,Hepatology,Gastroenterology,28
D0564,Dr. Asha Iyer,Spine,Orthopedics,5
D0565,Dr. Aditya Joshi,Medical Oncology,Oncology,30
D0566,Dr. Saanvi Mehta,Cosmetic Dermatology,Dermatology,3
D0567,Dr. Sneha Nair,Reproductive Medicine,Gynecology,28
D0568,Dr. Shreya Joshi,Interventional Radiology,Radiology,7
D0569,Dr. Pooja Khanna,Trauma Medicine,Emergency,7
D0570,Dr. Kabir Sharma,Diagnostic Radiology,Radiology,28
D0571,Dr. Aadhya Iyer,Child Psychiatry,Psychiatry,1
D0572,Dr. Kabir Gupta,Neonatology,Pediatrics,22
D0573,Dr. Karan Das,Cornea,Ophthalmology,13
D0574,Dr. Ira Nair,Critical Care,Emergency,13
D0575,Dr. Diya Joshi,General Surgery,Surgery,15
D0576,Dr. Diya Desai,Reproductive Medicine,Gynecology,19
D0577,Dr. Ishaan Chopra,Histopathology,Pathology,7
D0578,Dr. Ira Desai,Adult Psychiatry,Psychiatry,17
D0579,Dr. Ishaan Sharma,Neonatology,Pediatrics,10
D0580,Dr. Aarav Reddy,Clinical Pathology,Pathology,19
D0581,Dr. Karan Joshi,Critical Care,Emergency,28
D0582,Dr. Sneha Joshi,Histopathology,Pathology,26
D0583,Dr. Ananya Desai,Critical Care,Emergency,18
D0584,Dr. Aditya Sharma,ENT Surgery,ENT,30
D0585,Dr. Ishaan Gandhi,Clinical Neurology,Neurology,8
D0586,Dr. Vikram Gandhi,Medical Oncology,Oncology,8
D0587,Dr. Vikram Reddy,Medical Oncology,Oncology,27
D0588,Dr. Arjun Das,Medical Oncology,Oncology,30
D0589,Dr. Aditya Desai,Dialysis,Nephrology,9
D0590,Dr. Shreya Khanna,Reconstructive Urology,Urology,13
D0591,Dr. Sneha Nair,Interventional Radiology,Radiology,25
D0592,Dr. Ananya Khanna,Neonatology,Pediatrics,27
D0593,Dr. Sneha Bose,Neonatology,Pediatrics,13
D0594,Dr. Meera Reddy,Laparoscopic Surgery,Surgery,2
D0595,Dr. Kabir Iyer,Critical Care,Emergency,7
D0596,Dr. Ishaan Gandhi,Medical Dermatology,Dermatology,7
D0597,Dr. Rohan Menon,Laparoscopic Surgery,Surgery,20
D0598,Dr. Kabir Kapoor,Thyroid Specialist,Endocrinology,22
D0599,Dr. Kabir Singh,Non-Invasive Cardiology,Cardiology,1
D0600,Dr. Aditya Joshi,General Pediatrics,Pediatrics,14
D0601,Dr. Sneha Mitra,Endoscopy,Gastroenterology,6
D0602,Dr. Asha Kumar,General Surgery,Surgery,13
D0603,Dr. Karan Patel,Clinical Neurology,Neurology,1
D0604,Dr. Aditya Verma,Medical Oncology,Oncology,21
D0605,Dr. Vikram Iyer,Diabetology,Endocrinology,20
D0606,Dr. Kabir Kumar,Joint Replacement,Orthopedics,22
D0607,Dr. Kabir Joshi,Spine,Orthopedics,27
D0608,Dr. Kabir Mehta,Interventional Cardiology,Cardiology,27
D0609,Dr. Shreya Menon,ENT Surgery,ENT,21
D0610,Dr. Sai Sharma,Obstetrics,Gynecology,21
D0611,Dr. Ira Iyer,ENT Surgery,ENT,3
D0612,Dr. Meera Singh,Non-Invasive Cardiology,Cardiology,26
D0613,Dr. Saanvi Das,Cosmetic Dermatology,Dermatology,15
D0614,Dr. Rohan Sharma,Histopathology,Pathology,18
D0615,Dr. Vivaan Khanna,Joint Replacement,Orthopedics,23
D0616,Dr. Diya Desai,Diagnostic Radiology,Radiology,10
D0617,Dr. Ananya Joshi,Obstetrics,Gynecology,15
D0618,Dr. Diya Khanna,Reconstructive Urology,Urology,28
D0619,Dr. Aadhya Chopra,Internal Medicine,General Medicine,8
D0620,Dr. Sneha Chopra,Child Psychiatry,Psychiatry,5
D0621,Dr. Saanvi Iyer,Endourology,Urology,9
D0622,Dr. Diya Joshi,Joint Replacement,Orthopedics,1
D0623,Dr. Saanvi Menon,Child Psychiatry,Psychiatry,29
D0624,Dr. Pooja Verma,Diabetology,Endocrinology,19
D0625,Dr. Arjun Sharma,Radiation Oncology,Oncology,8
D0626,Dr. Ananya Mitra,Interventional Pulmonology,Pulmonology,5
D0627,Dr. Diya Bose,Clinical Neurology,Neurology,18
D0628,Dr. Rohan Desai,Neurosurgery,Neurology,26
D0629,Dr. Rohan Iyer,Transplant,Nephrology,9
D0630,Dr. Shreya Gupta,Neurosurgery,Neurology,29
D0631,Dr. Karan Das,Internal Medicine,General Medicine,1
D0632,Dr. Karan Mehta,Critical Care,Emergency,19
D0633,Dr. Ishaan Sharma,Cosmetic Dermatology,Dermatology,30
D0634,Dr. Ishaan Singh,Cosmetic Dermatology,Dermatology,14
D0635,Dr. Ishaan Nair,Endourology,Urology,14
D0636,Dr. Sai Singh,Child Psychiatry,Psychiatry,4
D0637,Dr. Pooja Kumar,Sleep Medicine,Pulmonology,7
D0638,Dr. Arjun Das,General Pediatrics,Pediatrics,20
D0639,Dr. Ira Chopra,Cosmetic Dermatology,Dermatology,11
D0640,Dr. Ananya Gandhi,Trauma Medicine,Emergency,2
D0641,Dr. Sai Patel,Trauma Medicine,Emergency,18
D0642,Dr. Pooja Menon,Cornea,Ophthalmology,10
D0643,Dr. Shreya Bose,Clinical Neurology,Neurology,1
D0644,Dr. Vivaan Kapoor,Histopathology,Pathology,23
D0645,Dr. Vivaan Mitra,Critical Care,Emergency,14
D0646,Dr. Sai Gandhi,General Pediatrics,Pediatrics,25
D0647,Dr. Ananya Menon,Diabetology,Endocrinology,28
D0648,Dr. Pooja Mitra,General Surgery,Surgery,10
D0649,Dr. Shreya Reddy,Cosmetic Dermatology,Dermatology,18
D0650,Dr. Sai Desai,Thyroid Specialist,Endocrinology,7
D0651,Dr. Shreya Verma,Cosmetic Dermatology,Dermatology,30
D0652,Dr. Rohan Reddy,Dialysis,Nephrology,24
D0653,Dr. Vivaan Gupta,Critical Care,Emergency,19
D0654,Dr. Ira Chopra,Medical Oncology,Oncology,4
D0655,Dr. Sai Mitra,Histopathology,Pathology,14
D0656,Dr. Karan Bose,Cosmetic Dermatology,Dermatology,9
D0657,Dr. Pooja Das,General Surgery,Surgery,4
D0658,Dr. Kabir Menon,General Pediatrics,Pediatrics,6
D0659,Dr. Asha Gandhi,General Pediatrics,Pediatrics,24
D0660,Dr. Ira Nair,Obstetrics,Gynecology,26
D0661,Dr. Vikram Desai,Cosmetic Dermatology,Dermatology,2
D0662,Dr. Ishaan Menon,ENT Surgery,ENT,1
D0663,Dr. Sai Singh,Non-Invasive Cardiology,Cardiology,23
D0664,Dr. Vikram Patel,Interventional Radiology,Radiology,17
D0665,Dr. Sai Gupta,Obstetrics,Gynecology,4
D0666,Dr. Vikram Bose,Thyroid Specialist,Endocrinology,5
D0667,Dr. Sai Chopra,Retina,Ophthalmology,18
D0668,Dr. Saanvi Mitra,Interventional Cardiology,Cardiology,26
D0669,Dr. Meera Gupta,Clinical Pathology,Pathology,13
D0670,Dr. Shreya Khanna,Transplant,Nephrology,20
D0671,Dr. Saanvi Kapoor,General Surgery,Surgery,27
D0672,Dr. Rohan Gandhi,Histopathology,Pathology,27
D0673,Dr. Pooja Sharma,Child Psychiatry,Psychiatry,26
D0674,Dr. Rohan Kumar,Reproductive Medicine,Gynecology,11
D0675,Dr. Rohan Gupta,Neurosurgery,Neurology,23
D0676,Dr. Sai Joshi,Reproductive Medicine,Gynecology,20
D0677,Dr. Aditya Chopra,Cornea,Ophthalmology,27
D0678,Dr. Aarav Joshi,Diagnostic Radiology,Radiology,1
D0679,Dr. Ishaan Iyer,Family Medicine,General Medicine,12
D0680,Dr. Sai Sharma,ENT Surgery,ENT,13
D0681,Dr. Kabir Nair,General Pediatrics,Pediatrics,26
D0682,Dr. Ira Das,Diabetology,Endocrinology,4
D0683,Dr. Diya Gandhi,Sleep Medicine,Pulmonology,27
D0684,Dr. Sai Reddy,Transplant,Nephrology,12
D0685,Dr. Sai Kumar,Clinical Pathology,Pathology,6
D0686,Dr. Aarav Desai,Retina,Ophthalmology,13
D0687,Dr. Vikram Gupta,Trauma Medicine,Emergency,14
D0688,Dr. Sai Gupta,Thyroid Specialist,Endocrinology,12
D0689,Dr. Shreya Mehta,Retina,Ophthalmology,21
D0690,Dr. Sai Reddy,ENT Surgery,ENT,29
D0691,Dr. Pooja Khanna,Trauma Medicine,Emergency,20
D0692,Dr. Ira Kapoor,Family Medicine,General Medicine,2
D0693,Dr. Diya Chopra,Laparoscopic Surgery,Surgery,26
D0694,Dr. Pooja Khanna,Interventional Cardiology,Cardiology,27
D0695,Dr. Karan Mehta,Interventional Cardiology,Cardiology,22
D0696,Dr. Aditya Gupta,Family Medicine,General Medicine,12
D0697,Dr. Ananya Singh,Obstetrics,Gynecology,6
D0698,Dr. Aarav Kumar,Sleep Medicine,Pulmonology,22
D0699,Dr. Vivaan Bose,Reconstructive Urology,Urology,4
D0700,Dr. Asha Iyer,Hepatology,Gastroenterology,24
D0701,Dr. Aditya Chopra,Interventional Radiology,Radiology,1
D0702,Dr. Meera Das,Interventional Radiology,Radiology,26
D0703,Dr. Aditya Nair,Diagnostic Radiology,Radiology,8
D0704,Dr. Ananya Menon,General Pediatrics,Pediatrics,8
D0705,Dr. Arjun Kumar,Neurosurgery,Neurology,21
D0706,Dr. Sai Gupta,Cornea,Ophthalmology,25
D0707,Dr. Asha Verma,Internal Medicine,General Medicine,12
D0708,Dr. Meera Menon,Cornea,Ophthalmology,25
D0709,Dr. Ananya Bose,Cornea,Ophthalmology,26
D0710,Dr. Arjun Chopra,Reconstructive Urology,Urology,4
D0711,Dr. Aditya Verma,Retina,Ophthalmology,16
D0712,Dr. Asha Sharma,Endourology,Urology,14
D0713,Dr. Vivaan Mitra,Radiation Oncology,Oncology,14
D0714,Dr. Rohan Sharma,Retina,Ophthalmology,2
D0715,Dr. Pooja Reddy,Medical Dermatology,Dermatology,17
D0716,Dr. Aditya Iyer,Endourology,Urology,24
D0717,Dr. Vivaan Kumar,Thyroid Specialist,Endocrinology,8
D0718,Dr. Vivaan Kapoor,General Surgery,Surgery,27
D0719,Dr. Vivaan Joshi,Reproductive Medicine,Gynecology,7
D0720,Dr. Asha Kumar,Hepatology,Gastroenterology,13
D0721,Dr. Aarav Joshi,Medical Oncology,Oncology,29
D0722,Dr. Sneha Khanna,Endoscopy,Gastroenterology,11
D0723,Dr. Sneha Mehta,Family Medicine,General Medicine,19
D0724,Dr. Vikram Menon,Child Psychiatry,Psychiatry,19
D0725,Dr. Shreya Khanna,Interventional Radiology,Radiology,10
D0726,Dr. Vikram Iyer,Audiology,ENT,24
D0727,Dr. Ananya Chopra,Thyroid Specialist,Endocrinology,28
D0728,Dr. Aarav Das,Interventional Radiology,Radiology,11
D0729,Dr. Sneha Patel,General Surgery,Surgery,16
D0730,Dr. Meera Chopra,Laparoscopic Surgery,Surgery,8
D0731,Dr. Ishaan Chopra,Medical Dermatology,Dermatology,2
D0732,Dr. Aarav Patel,Cosmetic Dermatology,Dermatology,14
D0733,Dr. Pooja Kapoor,Sleep Medicine,Pulmonology,17
D0734,Dr. Vikram Khanna,Obstetrics,Gynecology,17
D0735,Dr. Aarav Kumar,Radiation Oncology,Oncology,11
D0736,Dr. Arjun Gandhi,Trauma Medicine,Emergency,1
D0737,Dr. Pooja Bose,Medical Dermatology,Dermatology,19
D0738,Dr. Meera Kumar,Spine,Orthopedics,1
D0739,Dr. Shreya Singh,Retina,Ophthalmology,24
D0740,Dr. Sneha Joshi,Cornea,Ophthalmology,24
D0741,Dr. Ira Verma,Laparoscopic Surgery,Surgery,25
D0742,Dr. Sai Joshi,Neurosurgery,Neurology,4
D0743,Dr. Vikram Reddy,ENT Surgery,ENT,24
D0744,Dr. Shreya Bose,Interventional Cardiology,Cardiology,7
D0745,Dr. Vikram Bose,Cornea,Ophthalmology,20
D0746,Dr. Diya Sharma,Clinical Pathology,Pathology,1
D0747,Dr. Ananya Das,Non-Invasive Cardiology,Cardiology,28
D0748,Dr. Sai Sharma,Hepatology,Gastroenterology,11
D0749,Dr. Ishaan Das,Internal Medicine,General Medicine,13
D0750,Dr. Vikram Gupta,Reconstructive Urology,Urology,3
D0751,Dr. Arjun Mehta,Thyroid Specialist,Endocrinology,24
D0752,Dr. Meera Kapoor,Transplant,Nephrology,8
D0753,Dr. Ishaan Bose,Sleep Medicine,Pulmonology,12
D0754,Dr. Meera Khanna,Clinical Neurology,Neurology,2
D0755,Dr. Ira Mehta,Neonatology,Pediatrics,23
D0756,Dr. Rohan Nair,General Surgery,Surgery,1
D0757,Dr. Pooja Verma,Adult Psychiatry,Psychiatry,20
D0758,Dr. Kabir Mitra,Laparoscopic Surgery,Surgery,14
D0759,Dr. Karan Menon,Child Psychiatry,Psychiatry,30
D0760,Dr. Ananya Gupta,Endoscopy,Gastroenterology,15
D0761,Dr. Aditya Khanna,Clinical Neurology,Neurology,23
D0762,Dr. Vivaan Das,Family Medicine,General Medicine,4
D0763,Dr. Ira Sharma,Histopathology,Pathology,20
D0764,Dr. Arjun Reddy,General Surgery,Surgery,30
D0765,Dr. Meera Patel,Spine,Orthopedics,27
D0766,Dr. Meera Mehta,General Pediatrics,Pediatrics,7
D0767,Dr. Vikram Desai,Clinical Pathology,Pathology,1
D0768,Dr. Vikram Joshi,Endoscopy,Gastroenterology,5
D0769,Dr. Aditya Iyer,Spine,Orthopedics,14
D0770,Dr. Arjun Desai,Reconstructive Urology,Urology,30
D0771,Dr. Vivaan Joshi,Dialysis,Nephrology,6
D0772,Dr. Ira Gupta,Joint Replacement,Orthopedics,23
D0773,Dr. Shreya Iyer,Internal Medicine,General Medicine,7
D0774,Dr. Kabir Desai,Reproductive Medicine,Gynecology,12
D0775,Dr. Pooja Reddy,Thyroid Specialist,Endocrinology,7
D0776,Dr. Arjun Menon,Interventional Radiology,Radiology,18
D0777,Dr. Kabir Mehta,Laparoscopic Surgery,Surgery,22
D0778,Dr. Sai Singh,Spine,Orthopedics,16
D0779,Dr. Diya Sharma,Interventional Cardiology,Cardiology,9
D0780,Dr. Diya Bose,Medical Dermatology,Dermatology,7
D0781,Dr. Vivaan Patel,Diabetology,Endocrinology,23
D0782,Dr. Arjun Chopra,Internal Medicine,General Medicine,29
D0783,Dr. Vikram Das,Spine,Orthopedics,14
D0784,Dr. Sai Singh,Diabetology,Endocrinology,2
D0785,Dr. Pooja Kumar,Interventional Radiology,Radiology,30
D0786,Dr. Saanvi Verma,Adult Psychiatry,Psychiatry,29
D0787,Dr. Ira Gupta,Child Psychiatry,Psychiatry,13
D0788,Dr. Sai Khanna,Neonatology,Pediatrics,30
D0789,Dr. Ishaan Menon,Histopathology,Pathology,7
D0790,Dr. Sneha Bose,Medical Oncology,Oncology,25
D0791,Dr. Sneha Patel,Clinical Neurology,Neurology,19
D0792,Dr. Diya Chopra,Interventional Pulmonology,Pulmonology,2
D0793,Dr. Sneha Khanna,Neurosurgery,Neurology,6
D0794,Dr. Saanvi Mehta,Thyroid Specialist,Endocrinology,12
D0795,Dr. Vivaan Verma,Diabetology,Endocrinology,29
D0796,Dr. Ananya Bose,Trauma Medicine,Emergency,2
D0797,Dr. Aadhya Mehta,Reconstructive Urology,Urology,17
D0798,Dr. Arjun Patel,Diagnostic Radiology,Radiology,26
D0799,Dr. Aarav Kapoor,Non-Invasive Cardiology,Cardiology,12
D0800,Dr. Vivaan Mitra,Child Psychiatry,Psychiatry,20
D0801,Dr. Ira Das,Medical Dermatology,Dermatology,9
D0802,Dr. Pooja Mehta,Spine,Orthopedics,26
D0803,Dr. Ananya Kapoor,Transplant,Nephrology,14
D0804,Dr. Ananya Menon,Dialysis,Nephrology,3
D0805,Dr. Sneha Desai,Transplant,Nephrology,3
D0806,Dr. Meera Patel,Laparoscopic Surgery,Surgery,22
D0807,Dr. Meera Menon,Reconstructive Urology,Urology,29
D0808,Dr. Vivaan Kapoor,Endoscopy,Gastroenterology,16
D0809,Dr. Vivaan Gupta,Interventional Cardiology,Cardiology,6
D0810,Dr. Aadhya Mitra,Non-Invasive Cardiology,Cardiology,8
D0811,Dr. Ishaan Das,Transplant,Nephrology,13
D0812,Dr. Diya Singh,Histopathology,Pathology,26
D0813,Dr. Ananya Mitra,Clinical Neurology,Neurology,22
D0814,Dr. Arjun Bose,General Pediatrics,Pediatrics,8
D0815,Dr. Sneha Desai,Histopathology,Pathology,8
D0816,Dr. Ira Bose,General Pediatrics,Pediatrics,7
D0817,Dr. Pooja Gupta,Interventional Radiology,Radiology,5
D0818,Dr. Meera Gandhi,Trauma Medicine,Emergency,20
D0819,Dr. Kabir Gandhi,Trauma Medicine,Emergency,1
D0820,Dr. Aadhya Iyer,ENT Surgery,ENT,13
D0821,Dr. Diya Kapoor,Retina,Ophthalmology,22
D0822,Dr. Ananya Singh,Obstetrics,Gynecology,8
D0823,Dr. Asha Das,Audiology,ENT,11
D0824,Dr. Pooja Sharma,Trauma Medicine,Emergency,30
D0825,Dr. Saanvi Gupta,Diagnostic Radiology,Radiology,20
D0826,Dr. Saanvi Desai,Critical Care,Emergency,7
D0827,Dr. Ishaan Kumar,Critical Care,Emergency,19
D0828,Dr. Ishaan Gupta,Diabetology,Endocrinology,29
D0829,Dr. Arjun Joshi,General Surgery,Surgery,30
D0830,Dr. Aarav Khanna,Cornea,Ophthalmology,21
D0831,Dr. Meera Iyer,Neurosurgery,Neurology,7
D0832,Dr. Arjun Menon,Joint Replacement,Orthopedics,16
D0833,Dr. Meera Nair,Obstetrics,Gynecology,12
D0834,Dr. Rohan Chopra,Neurosurgery,Neurology,11
D0835,Dr. Vikram Joshi,Adult Psychiatry,Psychiatry,25
D0836,Dr. Ishaan Bose,General Pediatrics,Pediatrics,9
D0837,Dr. Saanvi Bose,Sleep Medicine,Pulmonology,7
D0838,Dr. Meera Iyer,Clinical Pathology,Pathology,20
D0839,Dr. Karan Singh,Obstetrics,Gynecology,22
D0840,Dr. Vivaan Nair,Clinical Pathology,Pathology,29
D0841,Dr. Aarav Gupta,Obstetrics,Gynecology,14
D0842,Dr. Aadhya Chopra,Audiology,ENT,4
D0843,Dr. Aarav Chopra,Endoscopy,Gastroenterology,3
D0844,Dr. Aadhya Patel,Non-Invasive Cardiology,Cardiology,9
D0845,Dr. Aditya Reddy,Clinical Neurology,Neurology,5
D0846,Dr. Ananya Mehta,Histopathology,Pathology,24
D0847,Dr. Asha Iyer,Dialysis,Nephrology,3
D0848,Dr. Pooja Gandhi,Medical Oncology,Oncology,25
D0849,Dr. Vivaan Patel,Reconstructive Urology,Urology,1
D0850,Dr. Pooja Verma,Laparoscopic Surgery,Surgery,18
D0851,Dr. Meera Gupta,Medical Dermatology,Dermatology,13
D0852,Dr. Aarav Mitra,Internal Medicine,General Medicine,4
D0853,Dr. Arjun Singh,Reproductive Medicine,Gynecology,18
D0854,Dr. Shreya Iyer,General Pediatrics,Pediatrics,9
D0855,Dr. Ishaan Menon,Interventional Pulmonology,Pulmonology,29
D0856,Dr. Rohan Gupta,Interventional Cardiology,Cardiology,7
D0857,Dr. Shreya Patel,Internal Medicine,General Medicine,15
D0858,Dr. Vikram Desai,Diagnostic Radiology,Radiology,13
D0859,Dr. Arjun Patel,Child Psychiatry,Psychiatry,2
